,ts,open,high,low,close,vol,datetime,move_pct,abs_move
5198,1722780000000,143.65,143.9,137.33,137.79,552931.005,2024-08-04 14:00:00,-0.04079359554472686,0.04079359554472686
7593,1731402000000,224.86,225.21,215.68,215.7,583162.88,2024-11-12 09:00:00,-0.0407364582406832,0.0407364582406832
687,1706540400000,96.05,100.29,95.76,99.92,686567.28,2024-01-29 15:00:00,0.04029151483602295,0.04029151483602295
1834,1710669600000,185.87,193.62,185.85,193.29,642557.85,2024-03-17 10:00:00,0.03992037445526436,0.03992037445526436
7627,1731524400000,219.6,220.29,210.31,210.87,867837.308,2024-11-13 19:00:00,-0.039754098360655694,0.039754098360655694
2500,1713067200000,134.9,142.18,133.85,140.26,727215.07,2024-04-14 04:00:00,0.0397331356560414,0.0397331356560414
3453,1716498000000,172.2,181.04,170.8,178.97,788776.748,2024-05-23 21:00:00,0.039314750290360106,0.039314750290360106
3379,1716231600000,180.19,188.32,179.42,187.25,666582.754,2024-05-20 19:00:00,0.03918086464287698,0.03918086464287698
6926,1729000800000,158.55,159.73,151.49,152.37,778059.317,2024-10-15 14:00:00,-0.038978240302743654,0.038978240302743654
228,1704888000000,97.32,97.74,91.68,93.56,735638.57,2024-01-10 12:00:00,-0.038635429510891814,0.038635429510891814
8109,1733259600000,228.64,239.6,227.87,237.47,899582.526,2024-12-03 21:00:00,0.03861966410076983,0.03861966410076983
166,1704664800000,92.86,92.86,88.27,89.29,651691.14,2024-01-07 22:00:00,-0.0384449709239715,0.0384449709239715
3032,1714982400000,148.74,154.73,148.73,154.4,497869.201,2024-05-06 08:00:00,0.038052978351485786,0.038052978351485786
1896,1710892800000,169.82,176.65,169.56,176.15,715346.48,2024-03-20 00:00:00,0.037274761512189454,0.037274761512189454
2964,1714737600000,136.88,142.53,136.47,141.96,522479.227,2024-05-03 12:00:00,0.03711279953243726,0.03711279953243726
8507,1734692400000,182.75,184.36,175.26,176.01,905327.439,2024-12-20 11:00:00,-0.03688098495212043,0.03688098495212043
5211,1722826800000,130.96,131.05,125.93,126.14,622959.057,2024-08-05 03:00:00,-0.03680513133781313,0.03680513133781313
7442,1730858400000,173.29,180.0,172.57,179.63,605830.955,2024-11-06 02:00:00,0.03658606959432168,0.03658606959432168
1772,1710446400000,162.42,169.24,161.99,168.35,424419.14,2024-03-14 20:00:00,0.036510281984977265,0.036510281984977265
1749,1710363600000,159.93,166.73,159.6,165.76,442339.73,2024-03-13 21:00:00,0.03645344838366776,0.03645344838366776
8571,1734922800000,179.74,187.38,179.24,186.24,366200.531,2024-12-23 03:00:00,0.036163347056859904,0.036163347056859904
3134,1715349600000,153.02,153.22,145.72,147.49,721399.616,2024-05-10 14:00:00,-0.03613906678865508,0.03613906678865508
59,1704279600000,107.29,107.44,102.3,103.42,843115.42,2024-01-03 11:00:00,-0.03607046323049683,0.03607046323049683
957,1707512400000,105.13,108.98,105.05,108.9,526300.18,2024-02-09 21:00:00,0.03586036335965006,0.03586036335965006
196,1704772800000,99.8,103.95,99.47,103.37,706821.09,2024-01-09 04:00:00,0.03577154308617242,0.03577154308617242
1892,1710878400000,181.47,181.98,174.36,174.99,617589.81,2024-03-19 20:00:00,-0.03570838155066947,0.03570838155066947
