,ts,open,high,low,close,vol,datetime,move_pct,abs_move
6788,1760126400000,205.31,207.8,193.0,196.84,797774.668,2025-10-10 20:00:00,-0.04125468803273099,0.04125468803273099
4125,1750539600000,138.43,138.59,130.9,132.74,494421.38,2025-06-21 21:00:00,-0.04110380697825614,0.04110380697825614
458,1737338400000,241.95,247.84,230.01,232.04,1129230.769,2025-01-20 02:00:00,-0.04095887580078528,0.04095887580078528
796,1738555200000,197.92,199.97,189.27,189.87,494429.107,2025-02-03 04:00:00,-0.04067299919159248,0.04067299919159248
459,1737342000000,232.02,243.74,229.44,241.38,753923.712,2025-01-20 03:00:00,0.04034134988363065,0.04034134988363065
1158,1739858400000,172.25,172.34,164.44,165.32,967903.746,2025-02-18 06:00:00,-0.04023222060957914,0.04023222060957914
6830,1760277600000,179.17,188.96,179.09,186.29,659281.012,2025-10-12 14:00:00,0.039738795557291984,0.039738795557291984
802,1738576800000,194.2,202.15,194.04,201.84,395932.717,2025-02-03 10:00:00,0.03934088568486105,0.03934088568486105
425,1737219600000,242.65,255.0,242.53,252.1,1204758.362,2025-01-18 17:00:00,0.03894498248506074,0.03894498248506074
2242,1743760800000,119.62,119.76,114.87,115.03,390686.147,2025-04-04 10:00:00,-0.03837150978097311,0.03837150978097311
442,1737280800000,274.01,289.75,272.75,284.44,1691774.662,2025-01-19 10:00:00,0.03806430422247366,0.03806430422247366
8224,1765296000000,138.46,144.64,138.45,143.67,978402.245,2025-12-09 16:00:00,0.037628195868842834,0.037628195868842834
233,1736528400000,184.72,192.07,183.85,191.61,246712.298,2025-01-10 17:00:00,0.03729969683845829,0.03729969683845829
1161,1739869200000,163.89,170.07,163.17,170.0,578901.782,2025-02-18 09:00:00,0.037281103178961585,0.037281103178961585
2329,1744074000000,107.04,111.37,106.69,111.03,277763.43,2025-04-08 01:00:00,0.03727578475336318,0.03727578475336318
9256,1769011200000,130.43,130.47,125.51,125.59,264324.287,2026-01-21 16:00:00,-0.03710802729433415,0.03710802729433415
797,1738558800000,189.87,197.46,189.68,196.83,384886.845,2025-02-03 05:00:00,0.0366566598198768,0.0366566598198768
807,1738594800000,199.7,210.0,197.95,207.02,1043241.839,2025-02-03 15:00:00,0.03665498247371068,0.03665498247371068
8055,1764687600000,132.97,139.87,132.95,137.84,991212.586,2025-12-02 15:00:00,0.03662480258704975,0.03662480258704975
412,1737172800000,220.47,230.31,219.85,228.46,1315672.057,2025-01-18 04:00:00,0.03624075837982496,0.03624075837982496
1489,1741050000000,141.68,142.12,134.74,136.56,927107.182,2025-03-04 01:00:00,-0.03613777526821008,0.03613777526821008
