ts,datetime,open,close,move_pct,abs_move
1704279600000,2024-01-03 11:00:00+00:00,107.29,103.42,-0.03607046323049683,0.03607046323049683
1704294000000,2024-01-03 15:00:00+00:00,96.55,102.06,0.05706887622993273,0.05706887622993273
1704463200000,2024-01-05 14:00:00+00:00,100.78,97.45,-0.03304227029172453,0.03304227029172453
1704664800000,2024-01-07 22:00:00+00:00,92.86,89.29,-0.0384449709239715,0.0384449709239715
1704772800000,2024-01-09 04:00:00+00:00,99.8,103.37,0.03577154308617242,0.03577154308617242
1704801600000,2024-01-09 12:00:00+00:00,101.88,98.47,-0.03347074990184527,0.03347074990184527
1704837600000,2024-01-09 22:00:00+00:00,96.25,99.53,0.03407792207792209,0.03407792207792209
1704888000000,2024-01-10 12:00:00+00:00,97.32,93.56,-0.038635429510891814,0.038635429510891814
1704920400000,2024-01-10 21:00:00+00:00,96.53,101.68,0.05335128975448053,0.05335128975448053
1704967200000,2024-01-11 10:00:00+00:00,100.5,103.86,0.03343283582089552,0.03343283582089552
1704985200000,2024-01-11 15:00:00+00:00,105.41,100.79,-0.04382885874205474,0.04382885874205474
1705071600000,2024-01-12 15:00:00+00:00,98.4,95.32,-0.03130081300813021,0.03130081300813021
1705258800000,2024-01-14 19:00:00+00:00,99.18,96.14,-0.030651340996168643,0.030651340996168643
1705683600000,2024-01-19 17:00:00+00:00,88.41,91.42,0.0340459224069676,0.0340459224069676
1706263200000,2024-01-26 10:00:00+00:00,87.47,90.54,0.03509774779924554,0.03509774779924554
1706540400000,2024-01-29 15:00:00+00:00,96.05,99.92,0.04029151483602295,0.04029151483602295
1706749200000,2024-02-01 01:00:00+00:00,97.33,94.16,-0.03256960854823797,0.03256960854823797
1707512400000,2024-02-09 21:00:00+00:00,105.13,108.9,0.03586036335965006,0.03586036335965006
1709154000000,2024-02-28 21:00:00+00:00,112.24,116.09,0.03430149679258739,0.03430149679258739
1709164800000,2024-02-29 00:00:00+00:00,119.03,122.93,0.03276484919768131,0.03276484919768131
1709193600000,2024-02-29 08:00:00+00:00,125.5,131.65,0.049003984063745065,0.049003984063745065
1709251200000,2024-03-01 00:00:00+00:00,125.68,132.93,0.0576861871419478,0.0576861871419478
1709654400000,2024-03-05 16:00:00+00:00,139.19,133.1,-0.043753143185573704,0.043753143185573704
1709665200000,2024-03-05 19:00:00+00:00,131.1,119.24,-0.09046529366895499,0.09046529366895499
1709910000000,2024-03-08 15:00:00+00:00,151.68,145.35,-0.041732594936708944,0.041732594936708944
1710140400000,2024-03-11 07:00:00+00:00,143.48,147.85,0.030457206579314226,0.030457206579314226
1710363600000,2024-03-13 21:00:00+00:00,159.93,165.76,0.03645344838366776,0.03645344838366776
1710421200000,2024-03-14 13:00:00+00:00,172.14,166.35,-0.033635413035900966,0.033635413035900966
1710446400000,2024-03-14 20:00:00+00:00,162.42,168.35,0.036510281984977265,0.036510281984977265
1710489600000,2024-03-15 08:00:00+00:00,176.07,167.22,-0.05026409950587831,0.05026409950587831
1710507600000,2024-03-15 13:00:00+00:00,172.08,182.2,0.058809855880985445,0.058809855880985445
1710532800000,2024-03-15 20:00:00+00:00,183.28,176.84,-0.0351374945438673,0.0351374945438673
1710669600000,2024-03-17 10:00:00+00:00,185.87,193.29,0.03992037445526436,0.03992037445526436
1710810000000,2024-03-19 01:00:00+00:00,193.8,187.93,-0.030288957688338516,0.030288957688338516
1710835200000,2024-03-19 08:00:00+00:00,186.14,175.99,-0.054528849253250126,0.054528849253250126
1710878400000,2024-03-19 20:00:00+00:00,181.47,174.99,-0.03570838155066947,0.03570838155066947
1710892800000,2024-03-20 00:00:00+00:00,169.82,176.15,0.037274761512189454,0.037274761512189454
1710918000000,2024-03-20 07:00:00+00:00,167.82,173.36,0.03301156000476713,0.03301156000476713
1710957600000,2024-03-20 18:00:00+00:00,172.07,183.83,0.06834427849131179,0.06834427849131179
1711947600000,2024-04-01 05:00:00+00:00,201.09,194.74,-0.03157790044258787,0.03157790044258787
1712944800000,2024-04-12 18:00:00+00:00,163.43,150.99,-0.07611821574986231,0.07611821574986231
1712970000000,2024-04-13 01:00:00+00:00,151.61,146.35,-0.034694281379856334,0.034694281379856334
1713027600000,2024-04-13 17:00:00+00:00,145.6,139.35,-0.042925824175824176,0.042925824175824176
1713042000000,2024-04-13 21:00:00+00:00,124.4,133.42,0.07250803858520885,0.07250803858520885
1713067200000,2024-04-14 04:00:00+00:00,134.9,140.26,0.0397331356560414,0.0397331356560414
1713117600000,2024-04-14 18:00:00+00:00,137.76,142.36,0.033391405342625025,0.033391405342625025
1713132000000,2024-04-14 22:00:00+00:00,141.57,150.61,0.06385533658260946,0.06385533658260946
1713189600000,2024-04-15 14:00:00+00:00,149.46,144.73,-0.03164726348186818,0.03164726348186818
1713283200000,2024-04-16 16:00:00+00:00,127.61,132.15,0.03557714912624407,0.03557714912624407
1713373200000,2024-04-17 17:00:00+00:00,128.3,132.53,0.032969602494154246,0.032969602494154246
1713448800000,2024-04-18 14:00:00+00:00,134.49,138.83,0.032270057253327405,0.032270057253327405
1713488400000,2024-04-19 01:00:00+00:00,138.22,132.29,-0.04290261901316746,0.04290261901316746
1713506400000,2024-04-19 06:00:00+00:00,138.99,145.06,0.04367220663357071,0.04367220663357071
1714464000000,2024-04-30 08:00:00+00:00,135.08,130.87,-0.03116671602013627,0.03116671602013627
1714586400000,2024-05-01 18:00:00+00:00,126.85,133.96,0.056050453291289035,0.056050453291289035
1714647600000,2024-05-02 11:00:00+00:00,134.44,138.74,0.031984528414162536,0.031984528414162536
1714737600000,2024-05-03 12:00:00+00:00,136.88,141.96,0.03711279953243726,0.03711279953243726
1714982400000,2024-05-06 08:00:00+00:00,148.74,154.4,0.038052978351485786,0.038052978351485786
1715198400000,2024-05-08 20:00:00+00:00,145.48,141.08,-0.030244707176244005,0.030244707176244005
1715349600000,2024-05-10 14:00:00+00:00,153.02,147.49,-0.03613906678865508,0.03613906678865508
1715774400000,2024-05-15 12:00:00+00:00,144.19,148.96,0.03308135099521472,0.03308135099521472
1716231600000,2024-05-20 19:00:00+00:00,180.19,187.25,0.03918086464287698,0.03918086464287698
1716498000000,2024-05-23 21:00:00+00:00,172.2,178.97,0.039314750290360106,0.039314750290360106
1718193600000,2024-06-12 12:00:00+00:00,151.75,158.86,0.04685337726523897,0.04685337726523897
1718672400000,2024-06-18 01:00:00+00:00,141.53,132.64,-0.0628135377658448,0.0628135377658448
1719493200000,2024-06-27 13:00:00+00:00,139.6,148.03,0.06038681948424074,0.06038681948424074
1720054800000,2024-07-04 01:00:00+00:00,141.41,134.16,-0.051269358602644796,0.051269358602644796
1720134000000,2024-07-04 23:00:00+00:00,132.45,127.86,-0.03465458663646651,0.03465458663646651
